id,strategy_name,symbol,start_date,end_date,initial_capital,final_capital,total_return,annual_return,sharpe_ratio,max_drawdown,win_rate,total_trades,winning_trades,losing_trades,avg_win,avg_loss,profit_factor
490,dual-ma-cross-v1,000333,2024-07-01,2024-12-31,1000000,1000000,0.06319500000000046,0.1314924433727258,0.6506990528476921,-0.1319702929091025,1,2,0,0,0,0,0
453,dual-ma-cross-v1,000858,2023-01-01,2023-12-31,1000000,1000000,-0.2231620000000001,-0.23122604367052846,-2.981433767486912,-0.2231620000000001,0,3,0,0,0,0,0
468,dual-ma-cross-v1,000858,2024-01-01,2024-06-30,1000000,1000000,-0.05772800000000012,-0.12020863917531976,-1.918318699439873,-0.07139703563544646,0,1,0,0,0,0,0
485,dual-ma-cross-v1,000858,2024-07-01,2024-12-31,1000000,1000000,-0.10803099999999988,-0.20584528626379395,-0.8743527082190206,-0.15772830034654478,0,1,0,0,0,0,0
461,dual-ma-cross-v1,002594,2023-01-01,2023-12-31,1000000,1000000,-0.09642500000000012,-0.10020299034531532,-0.5468067288202146,-0.15703581110959783,0.5,4,0,0,0,0,0.30953864220603783
480,dual-ma-cross-v1,002594,2024-01-01,2024-06-30,1000000,1000000,0.04492999999999989,0.09928648325323497,0.5407197328294024,-0.14853475216171325,0.5,2,0,0,0,0,0.8702572946769833
491,dual-ma-cross-v1,002594,2024-07-01,2024-12-31,1000000,1000000,0.200272,0.4448668423791986,1.4508624440431261,-0.11718690677592873,1,1,0,0,0,0,0
466,dual-ma-cross-v1,300059,2023-01-01,2023-12-31,1000000,1000000,-0.236934,-0.24541303733619246,-0.9852368322879549,-0.26254678487104355,0.3333333333333333,3,0,0,0,0,0.14265554100116515
481,dual-ma-cross-v1,300059,2024-01-01,2024-06-30,1000000,1000000,-0.08132800000000012,-0.16698400380597067,-1.2723990484933962,-0.10160302297744503,0,2,0,0,0,0,0
507,dual-ma-cross-v1,300059,2024-07-01,2024-12-31,1000000,1000000,1.382423,4.755327586692678,2.7267211558571542,-0.20078923439043173,0.5,2,0,0,0,0,207.57845188285242
467,dual-ma-cross-v1,300274,2023-01-01,2023-12-31,1000000,1000000,-0.1909,-0.19795148466594048,-0.802711235325046,-0.26705403248736553,0,3,0,0,0,0,0
479,dual-ma-cross-v1,300274,2024-01-01,2024-06-30,1000000,1000000,0.038613,0.08502277745047904,0.4335766338388104,-0.14481985721401294,0.5,2,0,0,0,0,1.7049126458185027
497,dual-ma-cross-v1,300274,2024-07-01,2024-12-31,1000000,1000000,0.133515,0.28743520134845624,0.7381962376363105,-0.27257680260527595,1,1,0,0,0,0,0
464,dual-ma-cross-v1,300308,2023-01-01,2023-12-31,1000000,1000000,2.221059,2.3805733293818907,2.33086207327747,-0.256779270332171,0.5,2,0,0,0,0,19.04159756771697
482,dual-ma-cross-v1,300308,2024-01-01,2024-06-30,1000000,1000000,-0.034646000000000114,-0.07313327023939964,-0.10504576624402422,-0.14241612286090718,0,1,0,0,0,0,0
494,dual-ma-cross-v1,300308,2024-07-01,2024-12-31,1000000,1000000,0.004412,0.008914527882056822,0.24670182401371762,-0.29876881080458406,1,1,0,0,0,0,0
460,dual-ma-cross-v1,300750,2023-01-01,2023-12-31,1000000,1000000,-0.031008,-0.032268427648348585,-0.11074671363758251,-0.1130639164971654,0.5,4,0,0,0,0,0.43450112158736526
